epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.08386,1.55012,2.90082,1.07295,0.0081,0.96667,0.42339,0.33211,1.02982,2.94678,0.88124,0.00043342,0.00043342,0.00043342
2,6.86117,1.41674,1.20417,1.01241,1,0.25585,0.80053,0.53836,1.10584,2.33179,0.90052,0.000866017,0.000866017,0.000866017
3,9.32999,1.37773,0.9988,1.03006,0.98722,0.70152,0.92538,0.56506,1.20854,1.80621,0.92192,0.00128079,0.00128079,0.00128079
4,11.9581,1.29626,0.93174,1.00377,0.92497,0.90899,0.94726,0.62971,1.14917,0.91751,0.95153,0.00156798,0.00156798,0.00156798
5,14.5242,1.30979,0.90545,0.99946,0.91747,0.89866,0.92901,0.57456,1.31498,0.90273,0.95468,0.00153497,0.00153497,0.00153497
6,17.032,1.28326,0.82166,0.985,0.92446,0.93607,0.9275,0.56852,1.36053,0.76993,1.04448,0.00150197,0.00150197,0.00150197
7,19.7178,1.1915,0.78256,0.98115,0.97053,0.93354,0.95495,0.51791,1.60683,0.7919,1.10395,0.00146896,0.00146896,0.00146896
8,22.2613,1.2086,0.77516,0.98874,0.97452,0.95433,0.96993,0.63548,1.18486,0.73956,0.93796,0.00143595,0.00143595,0.00143595
9,25.2478,1.18877,0.75079,0.99006,0.9458,0.925,0.95613,0.6319,1.08484,0.64287,0.89617,0.00140295,0.00140295,0.00140295
10,27.8397,1.20687,0.76205,0.99168,0.96139,0.93333,0.97023,0.68798,0.96311,0.65114,0.8841,0.00136994,0.00136994,0.00136994
11,30.5164,1.17359,0.73814,0.96875,0.9841,0.95833,0.97738,0.65358,1.06914,0.6361,0.91465,0.00133693,0.00133693,0.00133693
12,33.0194,1.20777,0.73117,0.97383,0.97471,0.96719,0.97235,0.67443,1.01747,0.5916,0.90624,0.00130393,0.00130393,0.00130393
