epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.7506,1.40943,2.8817,1.21443,1,0.16089,0.50488,0.37448,1.15972,3.18514,1.07839,0.00043342,0.00043342,0.00043342
2,15.416,1.25759,1.62082,1.1461,0.96807,0.13636,0.50605,0.34706,1.05576,2.92191,1.01411,0.000866017,0.000866017,0.000866017
3,22.0386,1.23112,1.36167,1.15574,0.82079,0.64403,0.81234,0.48708,1.3705,1.99062,1.28025,0.00128079,0.00128079,0.00128079
4,28.4013,1.21877,1.24334,1.12707,0.90836,0.81999,0.90168,0.61812,1.19351,1.48174,1.09036,0.00156798,0.00156798,0.00156798
5,35.2935,1.1899,1.12092,1.1037,0.91194,0.91958,0.94955,0.6599,1.19314,1.28545,1.11548,0.00153497,0.00153497,0.00153497
6,56.7891,1.09019,1.00826,1.08164,0.94571,0.89703,0.96671,0.64402,1.17954,1.05995,1.13088,0.00150197,0.00150197,0.00150197
7,83.5551,1.08227,0.92705,1.09158,0.8083,0.76364,0.82711,0.50241,1.33861,1.25595,1.21502,0.00146896,0.00146896,0.00146896
8,110.318,1.08668,0.89768,1.08192,0.98259,0.95833,0.98236,0.7016,1.00444,0.7459,1.03051,0.00143595,0.00143595,0.00143595
9,137.097,1.11142,0.86596,1.10684,0.94151,0.96846,0.98704,0.73151,1.05873,0.7203,1.03763,0.00140295,0.00140295,0.00140295
10,164.016,1.08826,0.84006,1.09146,0.94314,0.96906,0.985,0.70264,1.0521,0.75207,1.09002,0.00136994,0.00136994,0.00136994
11,190.896,1.06806,0.78772,1.07906,0.9417,0.95833,0.98612,0.6772,1.07622,0.94393,1.09901,0.00133693,0.00133693,0.00133693
12,217.993,1.07339,0.76753,1.08761,0.96447,0.9699,0.98914,0.69919,1.06972,0.61902,1.09803,0.00130393,0.00130393,0.00130393
13,245.249,1.05753,0.73613,1.06924,0.93591,0.95674,0.98634,0.72793,1.06717,0.6641,1.08454,0.00127092,0.00127092,0.00127092
14,273.011,1.04777,0.70835,1.07428,0.96842,0.9658,0.98272,0.69956,1.04744,0.57979,1.08868,0.00123791,0.00123791,0.00123791
15,300.799,1.02389,0.69865,1.06714,0.98564,0.92211,0.98112,0.7396,0.98073,0.71841,1.04073,0.00120491,0.00120491,0.00120491
16,328.882,0.98313,0.66347,1.02996,0.89113,0.95,0.96534,0.72181,0.97192,0.68206,1.03928,0.0011719,0.0011719,0.0011719
17,356.712,0.96811,0.65932,1.04416,0.94884,0.96966,0.9912,0.72858,0.91759,0.54045,1.00978,0.00113889,0.00113889,0.00113889
18,384.392,0.96538,0.64171,1.02839,0.94983,0.98333,0.9923,0.73852,1.02178,0.55894,1.07232,0.00110589,0.00110589,0.00110589
19,411.761,0.97049,0.63594,1.038,0.95808,0.9794,0.99264,0.75266,0.97887,0.51008,1.00874,0.00107288,0.00107288,0.00107288
20,439.211,0.94255,0.61453,1.022,0.95726,0.97308,0.99205,0.72588,1.07538,0.62778,1.07708,0.00103987,0.00103987,0.00103987
21,466.297,0.92851,0.60079,1.02569,0.98758,0.98333,0.99341,0.73584,1.0709,0.52645,1.06126,0.00100687,0.00100687,0.00100687
22,493.037,0.9203,0.58565,1.03277,0.98896,0.99019,0.99018,0.73425,1.05207,0.53103,1.07628,0.000973861,0.000973861,0.000973861
23,519.774,0.90188,0.56263,1.01363,0.97065,0.99167,0.99367,0.7731,0.88896,0.45891,1.00976,0.000940855,0.000940855,0.000940855
24,546.562,0.8877,0.54194,0.99907,0.98666,0.9894,0.99083,0.69823,1.1352,0.51814,1.08864,0.000907848,0.000907848,0.000907848
25,573.441,0.92805,0.55769,1.01845,0.96035,0.97538,0.9895,0.70998,1.13926,0.54885,1.09866,0.000874842,0.000874842,0.000874842
26,600.489,0.90219,0.54328,1.01888,0.97518,0.95,0.98867,0.72572,1.15671,0.56004,1.09693,0.000841835,0.000841835,0.000841835
27,627.672,0.84163,0.5153,0.98274,0.96507,0.98167,0.99012,0.7712,0.92379,0.52185,1.00853,0.000808828,0.000808828,0.000808828
28,654.571,0.86406,0.51835,0.9882,0.96715,0.99167,0.99462,0.76335,0.99442,0.45542,1.04889,0.000775822,0.000775822,0.000775822
29,681.519,0.846,0.51688,0.98557,0.99252,0.96011,0.99309,0.74946,0.99461,0.47675,1.054,0.000742815,0.000742815,0.000742815
30,708.493,0.81823,0.4968,0.96723,0.97822,0.96672,0.99266,0.75847,0.88859,0.51098,1.01193,0.000709809,0.000709809,0.000709809
31,735.382,0.82325,0.4898,0.97202,0.98038,0.975,0.99389,0.77276,0.96036,0.47538,1.03701,0.000676802,0.000676802,0.000676802
32,762.452,0.79805,0.48319,0.9681,0.98425,0.98333,0.99411,0.77971,0.93559,0.44481,1.01662,0.000643795,0.000643795,0.000643795
33,789.709,0.7974,0.48584,0.95435,0.98296,0.98333,0.99156,0.77481,0.95456,0.4712,1.0232,0.000610789,0.000610789,0.000610789
34,817.061,0.80165,0.47953,0.96397,0.97243,0.98333,0.99321,0.76912,0.99618,0.51069,1.04002,0.000577782,0.000577782,0.000577782
35,844.241,0.79593,0.46913,0.96769,0.97771,0.99167,0.99435,0.76197,1.05107,0.48382,1.06101,0.000544776,0.000544776,0.000544776
36,871.672,0.77159,0.46851,0.95937,0.99107,0.975,0.99365,0.73505,1.07787,0.46774,1.06019,0.000511769,0.000511769,0.000511769
37,898.931,0.78947,0.45804,0.96068,0.97981,0.96667,0.99189,0.77047,0.96279,0.49589,1.0239,0.000478762,0.000478762,0.000478762
38,926.105,0.77754,0.46264,0.9557,0.99123,0.96398,0.99134,0.76947,0.92703,0.4731,1.01342,0.000445756,0.000445756,0.000445756
39,953.281,0.74489,0.4397,0.95182,0.99225,0.97828,0.99275,0.75789,0.99155,0.46686,1.0377,0.000412749,0.000412749,0.000412749
40,980.513,0.74517,0.42326,0.93098,0.98201,0.98333,0.9939,0.77328,0.97181,0.4613,1.03567,0.000379743,0.000379743,0.000379743
41,1009.01,0.68728,0.39641,0.90896,0.97717,0.98333,0.99362,0.79259,0.88899,0.43735,1.02621,0.000346736,0.000346736,0.000346736
42,1036.06,0.71576,0.40834,0.92692,0.98217,0.98828,0.99425,0.75842,0.97379,0.46095,1.04285,0.000313729,0.000313729,0.000313729
43,1063.09,0.68357,0.39179,0.92024,0.98663,0.96498,0.99358,0.72572,1.06379,0.50101,1.09004,0.000280723,0.000280723,0.000280723
44,1089.97,0.66038,0.37349,0.90261,0.99139,0.98333,0.99452,0.76387,0.95412,0.43631,1.03335,0.000247716,0.000247716,0.000247716
45,1116.44,0.64731,0.37442,0.9096,0.99347,0.98333,0.99431,0.78041,0.88332,0.40752,1.00117,0.00021471,0.00021471,0.00021471
46,1143.19,0.65498,0.37092,0.89434,0.99249,0.98333,0.99415,0.76231,0.94379,0.44173,1.03806,0.000181703,0.000181703,0.000181703
47,1170.33,0.64384,0.36858,0.88606,0.9859,0.98901,0.99411,0.78423,0.90584,0.41767,1.0253,0.000148696,0.000148696,0.000148696
48,1197.52,0.61649,0.35383,0.89251,0.97242,0.98333,0.99377,0.74643,1.02019,0.4674,1.06187,0.00011569,0.00011569,0.00011569
49,1224.38,0.60663,0.35024,0.89632,0.9817,0.9794,0.99385,0.781,0.91344,0.43119,1.02101,8.26832e-05,8.26832e-05,8.26832e-05
50,1250.95,0.59411,0.34861,0.87866,0.98699,0.975,0.99385,0.77627,0.93853,0.42747,1.02265,4.96766e-05,4.96766e-05,4.96766e-05
